"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001819","positive regulation of cytokine production","66/880","464/18670",7.42451984133674e-16,9.54953781754637e-14,8.1236709273915e-14,"LTB/IL26/AIM2/IRF4/MYB/TIGIT/IL23R/CD28/TNF/ZBP1/SLAMF6/CCL19/HMHB1/LY9/SERPINB7/CARD11/LTA/PYHIN1/CSF2/TLR6/INAVA/IL12RB1/CD6/SASH3/IRF8/CCDC88B/MCOLN2/CD40LG/CD3E/LILRB1/CD2/HHLA2/TLR7/PTPRC/IFNG/CD244/TXK/GBP5/RASGRP1/BIRC3/WNT3A/CCR7/KLRC4-KLRK1/TMIGD2/PTPN22/IL12B/FOXP3/CRTAM/IL17A/EBI3/IL2/NOD2/CYBB/GPSM3/IFNL1/CLEC6A/P2RX7/CD83/CD86/XCL1/CCR2/NLRP7/CARD9/HLA-DPB1/LGALS9C/HSPA1B",66
"GO:0043368","positive T cell selection","18/880","34/18670",1.20208820404911e-15,1.49128994974972e-13,1.2686214810138e-13,"IRF4/IL23R/SLAMF6/LY9/IL12RB1/CD3D/CD3G/CD3E/ZAP70/PTPRC/DOCK2/THEMIS/BATF/BCL11B/IL12B/FOXN1/FOXP3/TBX21",18
"GO:0002703","regulation of leukocyte mediated immunity","41/880","201/18670",1.22211195713888e-15,1.49128994974972e-13,1.2686214810138e-13,"FCER2/NCR3/IL23R/CD1A/CD28/TNF/SLAMF6/C17orf99/BTK/CD1E/LTA/CD1C/IL12RB1/SASH3/RAC2/SH2D1A/CD84/LILRB1/IL7R/PTPRC/VAV1/WAS/RASGRP1/LAG3/KLRC4-KLRK1/CD96/IL12B/FOXP3/CRTAM/NCR1/TBX21/IL2/NOD2/CR1/JAK3/P2RX7/CD1B/XCL1/CCR2/FCGR2B/ITGB2",41
"GO:0046632","alpha-beta T cell differentiation","29/880","101/18670",1.45667822375071e-15,1.73308291670741e-13,1.47431169698559e-13,"PLA2G2D/IRF4/MYB/IL23R/GPR18/SLAMF6/CCL19/LY9/EOMES/IL12RB1/SASH3/FUT7/TNFSF8/ITK/ZAP70/IFNG/RUNX3/ZNF683/BATF/BCL11B/IL12B/NCKAP1L/FOXP3/TBX21/IL2/JAK3/TCF7/CD83/CD86",29
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","56/880","361/18670",2.85889163949416e-15,3.31840617374456e-13,2.82292612207819e-13,"FCER2/CD19/CR2/CXCL13/IGLL5/AICDA/GAPT/IRF4/IL23R/CD1A/CD28/POU2F2/TNF/KLHL6/SLAMF6/CCL19/LY9/C17orf99/AIRE/BTK/CD1E/LTA/CD1C/IL12RB1/SASH3/CD70/CD40LG/LILRB1/IL7R/PTPRC/CD27/IGLL1/WAS/C8A/GZMM/BATF/IL12B/SLA2/FOXP3/INPP5D/MBL2/TBX21/EBI3/CCR6/IL2/HLA-DQB1/CR1/JAK3/MYO1G/P2RX7/CD1B/CD8A/EXO1/XCL1/CCR2/FCGR2B",56
"GO:0031341","regulation of cell killing","28/880","98/18670",5.17522862012642e-15,5.86402690551944e-13,4.98845345188126e-13,"FCER2/STAP1/NCR3/IL23R/CD1A/SLAMF6/CD1E/CD1C/IL12RB1/SH2D1A/LILRB1/IL7R/PTPRC/IFNG/VAV1/RASGRP1/LAG3/KLRC4-KLRK1/IL12B/CRTAM/NCR1/CR1L/P2RX7/CD1B/CD5L/XCL1/PGLYRP4/FCGR2B",28
"GO:0050671","positive regulation of lymphocyte proliferation","32/880","130/18670",6.39422096853674e-15,7.07676688122473e-13,6.02011599632615e-13,"FCRL3/IL23R/CLECL1/CD28/CCL19/CARD11/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/CD70/CD40LG/CD3E/HHLA2/ZAP70/PTPRC/TNFSF9/WNT3A/RASAL3/TMIGD2/IL12B/NCKAP1L/FOXP3/EBI3/IL2/JAK3/CD86/XCL1/CCR2/HLA-DPB1/TAC1",32
"GO:0042129","regulation of T cell proliferation","35/880","156/18670",7.29461822296027e-15,7.88979275524271e-13,6.71174681471416e-13,"PLA2G2D/IL23R/CLECL1/CTLA4/CD28/CCL19/CARD11/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/RAC2/CD70/CD40LG/CD3E/LILRB1/TNFSF8/HHLA2/ZAP70/PTPRC/TNFSF9/RASAL3/TMIGD2/IL12B/NCKAP1L/FOXP3/EBI3/IL2/JAK3/CD86/XCL1/CCR2/HLA-DPB1/LGALS9C",35
"GO:0070665","positive regulation of leukocyte proliferation","33/880","139/18670",7.51509858658986e-15,7.94763426079581e-13,6.76095185123383e-13,"PTH/FCRL3/IL23R/CLECL1/CD28/CCL19/CARD11/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/CD70/CD40LG/CD3E/HHLA2/ZAP70/PTPRC/TNFSF9/WNT3A/RASAL3/TMIGD2/IL12B/NCKAP1L/FOXP3/EBI3/IL2/JAK3/CD86/XCL1/CCR2/HLA-DPB1/TAC1",33
"GO:0032946","positive regulation of mononuclear cell proliferation","32/880","131/18670",8.08762597166882e-15,8.36717652155911e-13,7.11785114119869e-13,"FCRL3/IL23R/CLECL1/CD28/CCL19/CARD11/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/CD70/CD40LG/CD3E/HHLA2/ZAP70/PTPRC/TNFSF9/WNT3A/RASAL3/TMIGD2/IL12B/NCKAP1L/FOXP3/EBI3/IL2/JAK3/CD86/XCL1/CCR2/HLA-DPB1/TAC1",32
"GO:0046634","regulation of alpha-beta T cell activation","27/880","93/18670",1.02521208138829e-14,1.03808176496316e-12,8.83083015681825e-13,"IRF4/MYB/IL23R/CD28/CCL19/IL12RB1/SASH3/CD3E/LILRB1/ZAP70/PTPRC/IFNG/RUNX3/ZNF683/RASAL3/IL12B/NCKAP1L/FOXP3/TBX21/EBI3/IL2/JAK3/CD83/CD86/XCL1/CCR2/LGALS9C",27
"GO:0001906","cell killing","36/880","168/18670",1.37029908344328e-14,1.35859444543887e-12,1.15573909537782e-12,"FCER2/STAP1/NCR3/IL23R/CD1A/SLAMF7/SLAMF6/CD1E/CD1C/CORO1A/IL12RB1/SH2D1A/LILRB1/IL7R/PTPRC/IFNG/VAV1/KLRF2/RASGRP1/LAG3/KLRC4-KLRK1/GZMM/HRG/IL12B/CRTAM/MBL2/NCR1/CR1L/P2RX7/HAMP/CD1B/CD5L/XCL1/PGLYRP4/FCGR2B/CHGA",36
"GO:0002429","immune response-activating cell surface receptor signaling pathway","64/880","473/18670",2.3039563230419e-14,2.23765880435845e-12,1.90354801684622e-12,"PAX5/MS4A1/CD19/CR2/CD79A/STAP1/IGLL5/BLK/FCRL3/NCR3/CTLA4/CD79B/LAX1/CD28/KLHL6/BTK/PRKCB/CARD11/KCNN4/TRAT1/LCK/TESPA1/CD3D/CD3G/UBASH3A/BTN1A1/CD3E/MUC16/CLEC4C/ITK/HHLA2/ZAP70/CD247/PTPRC/FYB1/BTNL2/TXK/VAV1/IGLL1/THEMIS/GRAP2/WAS/LAT2/SKAP1/CCR7/KLRC4-KLRK1/HLA-DQA1/PTPN22/SLA2/NCKAP1L/FOXP3/INPP5D/ICAM3/HLA-DQB1/CR1/MYO1G/CLEC6A/BTN3A1/PSMA8/FYB2/CARD9/HLA-DPB1/FCGR2B/PIK3CD",64
"GO:0031343","positive regulation of cell killing","23/880","68/18670",2.46173966489428e-14,2.34308381304637e-12,1.99323173709124e-12,"FCER2/STAP1/NCR3/IL23R/CD1A/SLAMF6/CD1E/CD1C/IL12RB1/SH2D1A/PTPRC/IFNG/VAV1/RASGRP1/LAG3/KLRC4-KLRK1/IL12B/CRTAM/P2RX7/CD1B/CD5L/XCL1/PGLYRP4",23
"GO:0002708","positive regulation of lymphocyte mediated immunity","28/880","105/18670",3.57221610248117e-14,3.33336792778586e-12,2.83565389683026e-12,"FCER2/NCR3/IL23R/CD1A/CD28/TNF/SLAMF6/C17orf99/BTK/CD1E/LTA/CD1C/IL12RB1/SASH3/SH2D1A/PTPRC/VAV1/RASGRP1/LAG3/KLRC4-KLRK1/IL12B/FOXP3/CRTAM/TBX21/IL2/P2RX7/CD1B/XCL1",28
"GO:0002697","regulation of immune effector process","62/880","458/18670",5.83344471642506e-14,5.33872373182055e-12,4.54158469218032e-12,"FCER2/CD19/CR2/FCRL3/AIM2/MZB1/IRF4/MYB/NCR3/IL23R/CD1A/CD28/TNF/SLAMF6/CCL19/C17orf99/BTK/CD1E/LTA/CD1C/IL12RB1/SASH3/RAC2/CD40LG/SH2D1A/CD84/LILRB1/IL7R/PTPRC/IFNG/CD244/VAV1/WAS/RASGRP1/LAG3/BIRC3/ZNF683/C8A/KLRC4-KLRK1/TSPAN32/CD96/IL12B/FOXP3/CRTAM/PGLYRP2/NCR1/TBX21/IL2/CR1L/NOD2/CR1/JAK3/IFNL1/P2RX7/CD1B/CD5L/CD86/XCL1/CCR2/PGLYRP4/FCGR2B/ITGB2",62
"GO:0042113","B cell activation","49/880","310/18670",7.7900600151664e-14,6.99488596456168e-12,5.95046093710625e-12,"MS4A1/FCRL1/CD19/CR2/CD79A/IGLL5/TNFRSF13B/AICDA/FCRL3/CXCR5/GAPT/MZB1/CTLA4/CD79B/LAX1/CD28/POU2F2/CD180/C17orf99/BTK/PRKCB/CARD11/IKZF3/SASH3/CD70/CD40LG/ZAP70/IL7R/ITGA4/PTPRC/CD27/FLT3/IGLL1/LAT2/WNT3A/BATF/SLA2/NCKAP1L/FOXP3/INPP5D/TBX21/CCR6/IL2/NOD2/JAK3/EXO1/DOCK10/FCGR2B/PIK3CD",49
"GO:0002699","positive regulation of immune effector process","40/880","216/18670",8.10413755137413e-14,7.14214640870176e-12,6.07573353266763e-12,"FCER2/MZB1/MYB/NCR3/IL23R/CD1A/CD28/TNF/SLAMF6/CCL19/C17orf99/BTK/CD1E/LTA/CD1C/IL12RB1/SASH3/RAC2/SH2D1A/CD84/LILRB1/PTPRC/IFNG/CD244/VAV1/RASGRP1/LAG3/KLRC4-KLRK1/IL12B/FOXP3/CRTAM/TBX21/IL2/NOD2/P2RX7/CD1B/CD86/XCL1/CCR2/ITGB2",40
"GO:0032729","positive regulation of interferon-gamma production","22/880","65/18670",8.88227440956153e-14,7.68558980274606e-12,6.5380339481672e-12,"IL23R/TNF/SLAMF6/HMHB1/LTA/IL12RB1/SASH3/IRF8/CD3E/CD2/TLR7/CD244/TXK/RASGRP1/KLRC4-KLRK1/PTPN22/IL12B/EBI3/IL2/IFNL1/CCR2/HLA-DPB1",22
"GO:0002683","negative regulation of immune system process","61/880","463/18670",3.16849107609484e-13,2.69265161270274e-11,2.29060463884601e-11,"PLA2G2D/STAP1/TNFRSF13B/FCRL3/IRF4/TIGIT/CTLA4/GPR18/LAX1/HLA-DOB/TNF/MIXL1/BTK/CNR2/TLR6/UBASH3A/GPR171/LILRA4/CD84/LILRB1/IL7R/PTPRC/CD200R1/PDCD1/GPR55/RUNX3/NLRP6/LAG3/RIPOR2/KLRC4-KLRK1/TSPAN32/PTPN22/CD96/IL12B/SLA2/FOXP3/BPIFB1/INPP5D/ALOX15/PGLYRP2/TBX21/NLRC3/IL2/HLA-DOA/ADTRP/CR1/JAK3/IFNL1/LST1/CD86/XCL1/CCR2/CCL25/TAFA3/PGLYRP4/FCGR2B/LGALS9C/TNFAIP8L2/CST7/CYP19A1/CARTPT",61
"GO:0001909","leukocyte mediated cytotoxicity","27/880","107/18670",4.39877391771429e-13,3.67259036393023e-11,3.12422612881425e-11,"STAP1/NCR3/IL23R/CD1A/SLAMF7/SLAMF6/CD1E/CD1C/CORO1A/IL12RB1/SH2D1A/LILRB1/IL7R/PTPRC/VAV1/KLRF2/RASGRP1/LAG3/KLRC4-KLRK1/GZMM/IL12B/CRTAM/NCR1/P2RX7/CD1B/XCL1/FCGR2B",27
"GO:0002705","positive regulation of leukocyte mediated immunity","30/880","133/18670",5.33775865918415e-13,4.3797230101823e-11,3.72577491891511e-11,"FCER2/NCR3/IL23R/CD1A/CD28/TNF/SLAMF6/C17orf99/BTK/CD1E/LTA/CD1C/IL12RB1/SASH3/SH2D1A/PTPRC/VAV1/RASGRP1/LAG3/KLRC4-KLRK1/IL12B/FOXP3/CRTAM/TBX21/IL2/NOD2/P2RX7/CD1B/XCL1/ITGB2",30
"GO:0001910","regulation of leukocyte mediated cytotoxicity","23/880","78/18670",6.75561334377796e-13,5.44914642424395e-11,4.63551987871009e-11,"STAP1/NCR3/IL23R/CD1A/SLAMF6/CD1E/CD1C/IL12RB1/SH2D1A/LILRB1/IL7R/PTPRC/VAV1/RASGRP1/LAG3/KLRC4-KLRK1/IL12B/CRTAM/NCR1/P2RX7/CD1B/XCL1/FCGR2B",23
"GO:0002819","regulation of adaptive immune response","32/880","160/18670",2.94259830088048e-12,2.33397088564837e-10,1.98547948512041e-10,"FCER2/IL23R/CD1A/CD28/TNF/CCL19/C17orf99/BTK/CD1E/CD48/LTA/CD1C/IL12RB1/SASH3/LILRB1/IL7R/PTPRC/WAS/SKAP1/IL12B/FOXP3/ALOX15/TBX21/IL2/CR1/JAK3/P2RX7/CD1B/ADCY7/XCL1/CCR2/FCGR2B",32
"GO:1903706","regulation of hemopoiesis","60/880","475/18670",3.08569961906729e-12,2.40735155526905e-10,2.04790349179168e-10,"FCRL3/TNFSF11/IRF4/MYB/IL23R/CTLA4/CD28/TNF/CCL19/MIXL1/BTK/PRKCB/CARD11/EVI2B/IKZF3/CSF2/TESPA1/IL12RB1/SASH3/TNFRSF18/CAMK4/GPR171/LILRB1/CD2/ZAP70/IL7R/PTPRC/CD27/IFNG/POU4F1/H3C12/TNFSF9/GPR55/RUNX3/RASGRP1/LAG3/ZNF683/IL12B/FOXN1/NCKAP1L/FOXP3/IL17A/INPP5D/PGLYRP2/TBX21/IL2/HLA-DOA/TOX/CR1/JAK3/IFNL1/CD83/CD86/CCR2/PSMA8/PGLYRP4/FCGR2B/HSPA1B/FANCA/CARTPT",60
"GO:0046635","positive regulation of alpha-beta T cell activation","20/880","62/18670",3.33158334181355e-12,2.55725889091785e-10,2.17542776445075e-10,"MYB/IL23R/CD28/CCL19/IL12RB1/SASH3/CD3E/ZAP70/PTPRC/IFNG/RUNX3/RASAL3/IL12B/NCKAP1L/FOXP3/EBI3/CD83/CD86/XCL1/CCR2",20
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity","19/880","56/18670",4.17593021676753e-12,3.15448442882487e-10,2.68347996887016e-10,"STAP1/NCR3/IL23R/CD1A/SLAMF6/CD1E/CD1C/IL12RB1/SH2D1A/PTPRC/VAV1/RASGRP1/LAG3/KLRC4-KLRK1/IL12B/CRTAM/P2RX7/CD1B/XCL1",19
"GO:0050852","T cell receptor signaling pathway","36/880","202/18670",4.64836188344751e-12,3.4564928442698e-10,2.94039470456236e-10,"CTLA4/CD28/BTK/CARD11/KCNN4/TRAT1/LCK/TESPA1/CD3D/CD3G/UBASH3A/BTN1A1/CD3E/ITK/HHLA2/ZAP70/CD247/PTPRC/FYB1/BTNL2/TXK/THEMIS/GRAP2/WAS/SKAP1/CCR7/HLA-DQA1/PTPN22/FOXP3/INPP5D/HLA-DQB1/BTN3A1/PSMA8/FYB2/HLA-DPB1/PIK3CD",36
"GO:0030595","leukocyte chemotaxis","38/880","224/18670",5.65794588096222e-12,4.1424868380768e-10,3.52396111063655e-10,"CXCL13/STAP1/CXCR5/TNFSF11/CCL22/GPR18/CCL19/CNR2/CCL17/CORO1A/RAC2/CXCR3/CXCR4/CCL11/XCL2/VAV1/CCL24/RIPOR2/CCR7/KLRC4-KLRK1/CCR5/JAML/NCKAP1L/CCL20/CCR6/GPSM3/PTPRO/XCL1/CCR2/CCL25/CXCL11/PIK3CG/ITGB2/PIK3CD/CYP19A1/CCL7/CHGA/CALCA",38
"GO:0002695","negative regulation of leukocyte activation","33/880","175/18670",7.35963015539379e-12,5.30673938023016e-10,4.5143760091937e-10,"PLA2G2D/TNFRSF13B/TIGIT/CTLA4/LAX1/BTK/CNR2/CD84/LILRB1/PTPRC/RUNX3/LAG3/RIPOR2/TSPAN32/PTPN22/SLA2/FOXP3/INPP5D/PGLYRP2/TBX21/IL2/JAK3/IFNL1/LST1/CD86/XCL1/CCR2/TAFA3/PGLYRP4/FCGR2B/LGALS9C/TNFAIP8L2/CST7",33
"GO:0060326","cell chemotaxis","45/880","304/18670",8.44705968706799e-12,5.99993388817262e-10,5.1040678014868e-10,"CXCL13/STAP1/CXCR5/TNFSF11/CCR4/CCL22/GPR18/CCL19/CNR2/CCL17/CORO1A/RAC2/CXCR3/CXCR4/HOXB9/CCR9/CCL11/XCL2/VAV1/BIN2/CCL24/RIPOR2/CCR7/KLRC4-KLRK1/CCR5/JAML/HRG/NCKAP1L/CCL20/CCR6/TIAM1/GPSM3/PTPRO/CCR8/XCL1/CCR2/CCL25/CXCL11/PIK3CG/ITGB2/PIK3CD/CYP19A1/CCL7/CHGA/CALCA",45
"GO:1990868","response to chemokine","24/880","97/18670",1.38612478758375e-11,9.56024328132039e-10,8.13277792989642e-10,"CXCL13/CXCR5/CCR4/CCL22/CCL19/CCL17/CXCR3/CXCR4/CCR9/CCL11/XCL2/CCL24/RIPOR2/CCR7/CCR5/CCL20/CCR6/DOCK8/CCR8/XCL1/CCR2/CCL25/CXCL11/CCL7",24
"GO:1990869","cellular response to chemokine","24/880","97/18670",1.38612478758375e-11,9.56024328132039e-10,8.13277792989642e-10,"CXCL13/CXCR5/CCR4/CCL22/CCL19/CCL17/CXCR3/CXCR4/CCR9/CCL11/XCL2/CCL24/RIPOR2/CCR7/CCR5/CCL20/CCR6/DOCK8/CCR8/XCL1/CCR2/CCL25/CXCL11/CCL7",24
"GO:0043367","CD4-positive, alpha-beta T cell differentiation","21/880","74/18670",1.53908893627391e-11,1.04636060681822e-09,8.90125721640523e-10,"PLA2G2D/IRF4/MYB/IL23R/SLAMF6/CCL19/LY9/IL12RB1/SASH3/FUT7/IFNG/RUNX3/BATF/IL12B/NCKAP1L/FOXP3/TBX21/IL2/JAK3/CD83/CD86",21
"GO:0035710","CD4-positive, alpha-beta T cell activation","23/880","92/18670",2.93484943821497e-11,1.96717584175564e-09,1.67345158478499e-09,"PLA2G2D/IRF4/MYB/IL23R/SLAMF6/CCL19/LY9/IL12RB1/SASH3/FUT7/IFNG/RUNX3/BATF/IL12B/NCKAP1L/FOXP3/TBX21/IL2/JAK3/CD83/CD86/XCL1/LGALS9C",23
"GO:0031295","T cell costimulation","18/880","56/18670",4.33474601139021e-11,2.8651467039175e-09,2.43734402921151e-09,"BTLA/CTLA4/CD28/CCL19/CARD11/ICOS/LCK/CD40LG/CD3E/CD5/HHLA2/VAV1/PDCD1/GRAP2/CCR7/KLRC4-KLRK1/TMIGD2/CD86",18
"GO:0045621","positive regulation of lymphocyte differentiation","23/880","94/18670",4.71874875767652e-11,3.07623634764144e-09,2.61691531680229e-09,"MYB/IL23R/CCL19/BTK/TESPA1/IL12RB1/SASH3/ZAP70/IL7R/PTPRC/CD27/IFNG/TNFSF9/RUNX3/RASGRP1/IL12B/NCKAP1L/FOXP3/INPP5D/IL2/TOX/CD83/CD86",23
"GO:0042100","B cell proliferation","23/880","95/18670",5.95268439711852e-11,3.82821960079555e-09,3.25661795040083e-09,"MS4A1/CD19/CR2/CD79A/TNFRSF13B/FCRL3/GAPT/MZB1/CTLA4/CD180/BTK/CARD11/IKZF3/SASH3/CD70/CD40LG/IL7R/PTPRC/WNT3A/NCKAP1L/INPP5D/IL2/FCGR2B",23
"GO:0031294","lymphocyte costimulation","18/880","57/18670",6.05893954330741e-11,3.84459910488e-09,3.27055178716636e-09,"BTLA/CTLA4/CD28/CCL19/CARD11/ICOS/LCK/CD40LG/CD3E/CD5/HHLA2/VAV1/PDCD1/GRAP2/CCR7/KLRC4-KLRK1/TMIGD2/CD86",18
"GO:0070098","chemokine-mediated signaling pathway","22/880","88/18670",7.89459249816878e-11,4.94346917089279e-09,4.20534664099129e-09,"CXCL13/CXCR5/CCR4/CCL22/CCL19/CCL17/CXCR3/CXCR4/CCR9/CCL11/XCL2/CCL24/CCR7/CCR5/CCL20/CCR6/CCR8/XCL1/CCR2/CCL25/CXCL11/CCL7",22
"GO:0072678","T cell migration","19/880","65/18670",8.10290295682948e-11,5.00801495734435e-09,4.26025492439729e-09,"CXCL13/GPR15/AIRE/CXCR3/ZAP70/ITGA4/XCL2/CD200R1/RIPOR2/CCL20/ITGB7/CCR6/MYO1G/DOCK8/XCL1/CCR2/CXCL11/PIK3CG/PIK3CD",19
"GO:1902107","positive regulation of leukocyte differentiation","28/880","144/18670",1.3524998240912e-10,8.25198290108974e-09,7.01985738657860e-09,"TNFSF11/MYB/IL23R/TNF/CCL19/BTK/EVI2B/TESPA1/IL12RB1/SASH3/ZAP70/IL7R/PTPRC/CD27/IFNG/POU4F1/TNFSF9/RUNX3/RASGRP1/IL12B/NCKAP1L/FOXP3/IL17A/INPP5D/IL2/TOX/CD83/CD86",28
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","28/880","145/18670",1.60233671848909e-10,9.65255752315137e-09,8.21130848675422e-09,"FCER2/IL23R/CD1A/CD28/TNF/CCL19/C17orf99/BTK/CD1E/LTA/CD1C/IL12RB1/SASH3/LILRB1/IL7R/PTPRC/WAS/IL12B/FOXP3/TBX21/IL2/CR1/JAK3/P2RX7/CD1B/XCL1/CCR2/FCGR2B",28
"GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","16/880","47/18670",1.97084156516804e-10,1.17240437607934e-08,9.97349560478456e-09,"IRF4/MYB/IL23R/CCL19/IL12RB1/SASH3/IFNG/RUNX3/IL12B/NCKAP1L/FOXP3/TBX21/IL2/JAK3/CD83/CD86",16
"GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","18/880","61/18670",2.1434184948597e-10,1.25932452062189e-08,1.07129142706048e-08,"IRF4/MYB/IL23R/CCL19/IL12RB1/SASH3/IFNG/RUNX3/IL12B/NCKAP1L/FOXP3/TBX21/IL2/JAK3/CD83/CD86/XCL1/LGALS9C",18
"GO:0050866","negative regulation of cell activation","33/880","199/18670",2.61579306722269e-10,1.51811697645278e-08,1.29144289300879e-08,"PLA2G2D/TNFRSF13B/TIGIT/CTLA4/LAX1/BTK/CNR2/CD84/LILRB1/PTPRC/RUNX3/LAG3/RIPOR2/TSPAN32/PTPN22/SLA2/FOXP3/INPP5D/PGLYRP2/TBX21/IL2/JAK3/IFNL1/LST1/CD86/XCL1/CCR2/TAFA3/PGLYRP4/FCGR2B/LGALS9C/TNFAIP8L2/CST7",33
"GO:0033077","T cell differentiation in thymus","19/880","70/18670",3.33904888726493e-10,1.91452212704745e-08,1.62865973626137e-08,"CD28/AIRE/CARD11/TESPA1/CD3D/CD3G/CAMK4/CD3E/ZAP70/IL7R/PTPRC/DOCK2/WNT1/RASGRP1/CCR7/BCL11B/FOXN1/FOXP3/CCR6",19
"GO:0030101","natural killer cell activation","21/880","86/18670",3.4124198346921e-10,1.93329833253568e-08,1.64463241656965e-08,"NCR3/IL23R/SLAMF7/IL21R/CORO1A/CD2/PTPRC/CD244/KLRF2/RASGRP1/ZNF683/KLRC4-KLRK1/PTPN22/IL12B/PGLYRP2/NCR1/IL2/TOX/PGLYRP4/ITGB2/PIK3CD",21
"GO:0046637","regulation of alpha-beta T cell differentiation","18/880","63/18670",3.86760083459377e-10,2.16540145550962e-08,1.84207960493469e-08,"IRF4/MYB/IL23R/CCL19/IL12RB1/SASH3/ZAP70/IFNG/RUNX3/ZNF683/IL12B/NCKAP1L/FOXP3/TBX21/IL2/JAK3/CD83/CD86",18
"GO:0002821","positive regulation of adaptive immune response","23/880","105/18670",5.12361975979572e-10,2.83526819033347e-08,2.41192675595769e-08,"FCER2/IL23R/CD1A/CD28/TNF/CCL19/C17orf99/BTK/CD1E/LTA/CD1C/IL12RB1/SASH3/PTPRC/SKAP1/IL12B/FOXP3/TBX21/IL2/P2RX7/CD1B/XCL1/CCR2",23
"GO:0007204","positive regulation of cytosolic calcium ion concentration","43/880","319/18670",5.1913479113545e-10,2.83972697817656e-08,2.41571979032903e-08,"MS4A1/CD19/CXCL13/P2RX5/CXCR5/P2RY10/CCR4/GPR18/GPR174/CD52/CCL19/LCK/CORO1A/MCOLN2/CXCR3/FASLG/CXCR4/PTPRC/CCR9/PLCB2/GPR55/GPR65/LPAR3/ADCY8/P2RX2/CCR7/CCR5/CCR6/DHRS7C/IL2/KNG1/CHRNA9/P2RX7/METTL21C/CCR8/XCL1/CCR2/CXCL11/S1PR4/PIK3CG/F2RL3/TAC1/CALCA",43
"GO:0045061","thymic T cell selection","11/880","21/18670",5.48184129396607e-10,2.96455485431643e-08,2.52190928428152e-08,"CD28/AIRE/CARD11/CD3D/CD3G/CD3E/ZAP70/PTPRC/DOCK2/CCR7/FOXN1",11
"GO:0002286","T cell activation involved in immune response","23/880","106/18670",6.25621662473124e-10,3.30814832412178e-08,2.81419989926507e-08,"IRF4/MYB/IL23R/SLAMF6/CCL19/LY9/EOMES/CD1C/ITGAL/IL12RB1/LILRB1/IFNG/LCP1/BATF/IL12B/FOXP3/TBX21/IL2/JAK3/APBB1IP/IFNL1/CD86/FCGR2B",23
"GO:0002456","T cell mediated immunity","23/880","106/18670",6.25621662473124e-10,3.30814832412178e-08,2.81419989926507e-08,"IL23R/CD1A/AIRE/CD1E/CD1C/IL12RB1/SASH3/CD70/LILRB1/IL7R/PTPRC/WAS/GZMM/IL12B/FOXP3/TBX21/MYO1G/P2RX7/CD1B/CD8A/XCL1/CCR2/FCGR2B",23
"GO:0032653","regulation of interleukin-10 production","16/880","52/18670",1.08824764565125e-09,5.69117642379595e-08,4.84141173530911e-08,"IRF4/TIGIT/IL23R/CD28/INAVA/SASH3/CD40LG/LILRB1/IL12B/FOXP3/NOD2/JAK3/CD83/XCL1/FCGR2B/LGALS9C",16
"GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","22/880","100/18670",1.11474271523459e-09,5.76637019761024e-08,4.90537812676458e-08,"FCER2/IL23R/CD1A/CD28/TNF/CCL19/C17orf99/BTK/CD1E/LTA/CD1C/IL12RB1/SASH3/PTPRC/IL12B/FOXP3/TBX21/IL2/P2RX7/CD1B/XCL1/CCR2",22
"GO:0045582","positive regulation of T cell differentiation","20/880","83/18670",1.15646551004031e-09,5.91787028202346e-08,5.03425733063386e-08,"MYB/IL23R/CCL19/TESPA1/IL12RB1/SASH3/ZAP70/IL7R/PTPRC/CD27/IFNG/TNFSF9/RUNX3/RASGRP1/IL12B/NCKAP1L/FOXP3/IL2/CD83/CD86",20
"GO:0001914","regulation of T cell mediated cytotoxicity","13/880","33/18670",1.23704902316517e-09,6.26288968217347e-08,5.32776096650981e-08,"IL23R/CD1A/CD1E/CD1C/IL12RB1/LILRB1/IL7R/PTPRC/IL12B/P2RX7/CD1B/XCL1/FCGR2B",13
"GO:0002709","regulation of T cell mediated immunity","18/880","70/18670",2.53673942091462e-09,1.27077293727712e-07,1.08103045017591e-07,"IL23R/CD1A/CD1E/CD1C/IL12RB1/SASH3/LILRB1/IL7R/PTPRC/WAS/IL12B/FOXP3/TBX21/P2RX7/CD1B/XCL1/CCR2/FCGR2B",18
"GO:0032613","interleukin-10 production","16/880","55/18670",2.73468721714114e-09,1.35566421524736e-07,1.15324638564965e-07,"IRF4/TIGIT/IL23R/CD28/INAVA/SASH3/CD40LG/LILRB1/IL12B/FOXP3/NOD2/JAK3/CD83/XCL1/FCGR2B/LGALS9C",16
